agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature,ais_original,regiao_risp
2.0,AIS 06,,,RODOLFO TEOFILO,FORTALEZA,,Sim,2026-07-22,,,,8:48:32,81805,4458403.0,,-3.7457889805,-38.5516933988,RUA PAPI JÚNIOR,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 06,,,RODOLFO TEOFILO,FORTALEZA,,Sim,2026-07-22,,,,8:48:32,82059,4462763.0,,-3.7457889805,-38.5516933988,RUA PAPI JÚNIOR,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 06,,,AMADEU FURTADO,FORTALEZA,,Sim,2026-07-22,,,,8:44:34,81593,4457452.0,,-3.742021207,-38.5603703612,RUA PROFESSOR LINO ENCARNAÇÃO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 06,,,AMADEU FURTADO,FORTALEZA,,Sim,2026-07-22,,,,8:44:34,81806,4458402.0,,-3.742021207,-38.5603703612,RUA PROFESSOR LINO ENCARNAÇÃO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 06,,,AMADEU FURTADO,FORTALEZA,,Sim,2026-07-22,,,,8:44:34,82061,4462762.0,,-3.742021207,-38.5603703612,RUA PROFESSOR LINO ENCARNAÇÃO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 18,,,PRESIDENTE KENNEDY,FORTALEZA,,Sim,2026-07-22,,,,8:33:57,81587,4457451.0,,-3.7321088079,-38.5723087025,RUA EDGAR FALCÃO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 18,,,PRESIDENTE KENNEDY,FORTALEZA,,Sim,2026-07-22,,,,8:33:57,81807,4458401.0,,-3.7321088079,-38.5723087025,RUA EDGAR FALCÃO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 18,,,PRESIDENTE KENNEDY,FORTALEZA,,Sim,2026-07-22,,,,8:33:57,82062,4462761.0,,-3.7321088079,-38.5723087025,RUA EDGAR FALCÃO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 09,,Arma de fogo,,LIMOEIRO DO NORTE,,Sim,2026-07-22,,,,3:15:00,81413,4456855.0,41.0,-5.2448350554,-37.8448175349,SITIO PITOMBEIRA,M,cvli,HOMICIDIO DOLOSO,,,Quarta-feira,False,False,,,,HOMICIDIO DOLOSO,,SUDESTE
2.0,AIS 10,,,IGUATU,IGUATU,,Sim,2026-07-22,,,,2:33:55,81600,4457535.0,,-6.37163033,-39.3076021369,RUA GUILHARDO GOMES DE ARAÚJO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,SUL
2.0,AIS 10,,,IGUATU,IGUATU,,Sim,2026-07-22,,,,2:33:55,81814,4458529.0,,-6.37163033,-39.3076021369,RUA GUILHARDO GOMES DE ARAÚJO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,SUL
2.0,AIS 10,,,IGUATU,IGUATU,,Sim,2026-07-22,,,,2:33:55,82066,4462942.0,,-6.37163033,-39.3076021369,RUA GUILHARDO GOMES DE ARAÚJO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,SUL
2.0,AIS 05,,,BENFICA,FORTALEZA,,Sim,2026-07-22,,,,23:27:01,81596,4457458.0,,-3.7355182002,-38.5322751786,RUA SENADOR POMPEU,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 05,,,BENFICA,FORTALEZA,,Sim,2026-07-22,,,,23:27:01,81803,4458408.0,,-3.7355182002,-38.5322751786,RUA SENADOR POMPEU,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 05,,,BENFICA,FORTALEZA,,Sim,2026-07-22,,,,23:27:01,82063,4462768.0,,-3.7355182002,-38.5322751786,RUA SENADOR POMPEU,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 21,,,EDSON QUEIROZ,FORTALEZA,,Sim,2026-07-22,,,,22:16:48,81597,4457457.0,,-3.7806208605,-38.4741492846,RUA HERMENEGILDO DE SÁ CAVALCANTE,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Quarta-feira,False,False,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,CAPITAL OESTE
2.0,AIS 21,,,EDSON QUEIROZ,FORTALEZA,,Sim,2026-07-22,,,,22:16:48,81812,4458407.0,,-3.7806208605,-38.4741492846,RUA HERMENEGILDO DE SÁ CAVALCANTE,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Quarta-feira,False,False,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,CAPITAL OESTE
2.0,AIS 21,,,EDSON QUEIROZ,FORTALEZA,,Sim,2026-07-22,,,,22:16:48,82057,4462767.0,,-3.7806208605,-38.4741492846,RUA HERMENEGILDO DE SÁ CAVALCANTE,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Quarta-feira,False,False,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,CAPITAL OESTE
2.0,AIS 29,,,,ARACATI,,Sim,2026-07-22,,,,21:09:24,81598,4457525.0,,-4.5608235894,-37.7685493029,AVENIDA ABELARDO GURGEL COSTA LIMA,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quarta-feira,False,False,,,,ROUBO A RESIDÊNCIA,,NORDESTE
2.0,AIS 29,,,,ARACATI,,Sim,2026-07-22,,,,21:09:24,81813,4458515.0,,-4.5608235894,-37.7685493029,AVENIDA ABELARDO GURGEL COSTA LIMA,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quarta-feira,False,False,,,,ROUBO A RESIDÊNCIA,,NORDESTE
2.0,AIS 29,,,,ARACATI,,Sim,2026-07-22,,,,21:09:24,82065,4462926.0,,-4.5608235894,-37.7685493029,AVENIDA ABELARDO GURGEL COSTA LIMA,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quarta-feira,False,False,,,,ROUBO A RESIDÊNCIA,,NORDESTE
2.0,AIS 20,,,PREFEITO JOSE WALTER,FORTALEZA,,Sim,2026-07-22,,,,20:29:42,81588,4457456.0,,-3.8280708627,-38.5500837664,RUA O,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Quarta-feira,False,False,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,CAPITAL OESTE
2.0,AIS 20,,,PREFEITO JOSE WALTER,FORTALEZA,,Sim,2026-07-22,,,,20:29:42,81811,4458406.0,,-3.8280708627,-38.5500837664,RUA O,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Quarta-feira,False,False,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,CAPITAL OESTE
2.0,AIS 20,,,PREFEITO JOSE WALTER,FORTALEZA,,Sim,2026-07-22,,,,20:29:42,82064,4462766.0,,-3.8280708627,-38.5500837664,RUA O,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Quarta-feira,False,False,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,CAPITAL OESTE
2.0,AIS 19,,,SAO JOAO DO TAUAPE,FORTALEZA,,Sim,2026-07-22,,,,20:18:51,81589,4457455.0,,-3.7549671965,-38.5062508153,RUA OSVALDO CRUZ,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 19,,,SAO JOAO DO TAUAPE,FORTALEZA,,Sim,2026-07-22,,,,20:18:51,81808,4458405.0,,-3.7549671965,-38.5062508153,RUA OSVALDO CRUZ,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 19,,,SAO JOAO DO TAUAPE,FORTALEZA,,Sim,2026-07-22,,,,20:18:51,82056,4462765.0,,-3.7549671965,-38.5062508153,RUA OSVALDO CRUZ,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 12,,,,CAUCAIA,,Sim,2026-07-22,,,,1:18:14,81592,4457242.0,,-3.6458096256,-38.698092552,RESIDENCIAL GOLDEN PARK,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,RMF OESTE
2.0,AIS 12,,,,CAUCAIA,,Sim,2026-07-22,,,,1:18:14,81810,4458188.0,,-3.6458096256,-38.698092552,RESIDENCIAL GOLDEN PARK,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,RMF OESTE
2.0,AIS 12,,,,CAUCAIA,,Sim,2026-07-22,,,,1:18:14,82053,4462549.0,,-3.6458096256,-38.698092552,RESIDENCIAL GOLDEN PARK,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,RMF OESTE
2.0,AIS 13,,Arma de fogo,,BARBALHA,,Sim,2026-07-22,,,,19:20:00,81414,4456828.0,43.0,-7.2988356832,-39.278044875,RUA P-06,F,cvli,HOMICIDIO DOLOSO,,,Quarta-feira,False,False,,,,HOMICIDIO DOLOSO,,SUL
2.0,AIS 11,,,,SAO BENEDITO,,Sim,2026-07-22,,,,18:54:54,81594,4457561.0,,-4.0445240287,-40.8648150535,RUA ARISTÍDES BARRETO,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quarta-feira,False,False,,,,ROUBO A RESIDÊNCIA,,NORDESTE
2.0,AIS 11,,,,SAO BENEDITO,,Sim,2026-07-22,,,,18:54:54,81802,4458562.0,,-4.0445240287,-40.8648150535,RUA ARISTÍDES BARRETO,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quarta-feira,False,False,,,,ROUBO A RESIDÊNCIA,,NORDESTE
2.0,AIS 11,,,,SAO BENEDITO,,Sim,2026-07-22,,,,18:54:54,82058,4462976.0,,-4.0445240287,-40.8648150535,RUA ARISTÍDES BARRETO,NONE,cvp,ROUBO A RESIDÊNCIA,,,Quarta-feira,False,False,,,,ROUBO A RESIDÊNCIA,,NORDESTE
2.0,AIS 16,,,ANCURI,EUSEBIO,,Sim,2026-07-22,,,,17:37:28,81599,4457228.0,,-3.8810601355,-38.4767930946,RUA ALISSON SILVA DOS SANTOS,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 16,,,ANCURI,EUSEBIO,,Sim,2026-07-22,,,,17:37:28,81809,4458198.0,,-3.8810601355,-38.4767930946,RUA ALISSON SILVA DOS SANTOS,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 16,,,ANCURI,EUSEBIO,,Sim,2026-07-22,,,,17:37:28,82054,4462558.0,,-3.8810601355,-38.4767930946,RUA ALISSON SILVA DOS SANTOS,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 08,,,ALDEOTA,FORTALEZA,,Sim,2026-07-22,,,,16:49:17,81590,4457454.0,,-3.7404292282,-38.5070395613,RUA BÁRBARA DE ALENCAR,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,CAPITAL LESTE
2.0,AIS 08,,,ALDEOTA,FORTALEZA,,Sim,2026-07-22,,,,16:49:17,81804,4458404.0,,-3.7404292282,-38.5070395613,RUA BÁRBARA DE ALENCAR,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,CAPITAL LESTE
2.0,AIS 08,,,ALDEOTA,FORTALEZA,,Sim,2026-07-22,,,,16:49:17,82060,4462764.0,,-3.7404292282,-38.5070395613,RUA BÁRBARA DE ALENCAR,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,CAPITAL LESTE
2.0,AIS 17,,,BOM JARDIM,MARACANAU,,Sim,2026-07-22,,,,12:31:35,81595,4457491.0,,-3.8240419703,-38.6285058872,RUA SANTO INÁCIO,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,CAPITAL OESTE
2.0,AIS 17,,,BOM JARDIM,MARACANAU,,Sim,2026-07-22,,,,12:31:35,81801,4458479.0,,-3.8240419703,-38.6285058872,RUA SANTO INÁCIO,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,CAPITAL OESTE
2.0,AIS 17,,,BOM JARDIM,MARACANAU,,Sim,2026-07-22,,,,12:31:35,82055,4462884.0,,-3.8240419703,-38.6285058872,RUA SANTO INÁCIO,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,CAPITAL OESTE
2.0,AIS 28,,Arma de fogo,,PENTECOSTE,,Sim,2026-07-21,,,,8:00:00,81412,4456865.0,18.0,-3.7904202878,-39.3112628245,POVOADO CERQUINHA,M,cvli,HOMICIDIO DOLOSO,,,Terça-feira,False,False,,,,HOMICIDIO DOLOSO,,NORTE
2.0,AIS 02,,Arma de fogo,,JUAZEIRO DO NORTE,,Sim,2026-07-21,,,,23:59:00,81411,4456853.0,28.0,-7.2511733637,-39.3374116462,RUA TEN ALFREDO,M,cvli,HOMICIDIO DOLOSO,,,Terça-feira,False,False,,,,HOMICIDIO DOLOSO,,SUL
2.0,AIS 21,,,AEROLANDIA,FORTALEZA,,Sim,2026-07-21,,,,23:36:35,81586,4457450.0,,-3.7759848557,-38.5118292578,RUA ASSEMBLÉIA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 21,,,AEROLANDIA,FORTALEZA,,Sim,2026-07-21,,,,23:36:35,81799,4458400.0,,-3.7759848557,-38.5118292578,RUA ASSEMBLÉIA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 21,,,AEROLANDIA,FORTALEZA,,Sim,2026-07-21,,,,23:36:35,82047,4462760.0,,-3.7759848557,-38.5118292578,RUA ASSEMBLÉIA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 12,,Arma de fogo,,CAUCAIA,,Sim,2026-07-21,,,,23:08:00,81617,4457676.0,29.0,-3.6794371003,-38.7158191823,RUA SÃO JOÃO DEL REI,M,cvli,HOMICIDIO DOLOSO,,,Terça-feira,False,False,,,,HOMICIDIO DOLOSO,,RMF OESTE
2.0,AIS 06,,,JOQUEI CLUBE,FORTALEZA,,Sim,2026-07-21,,,,22:47:44,81585,4457449.0,,-3.7647286328,-38.5709469386,RUA RIO GRANDE DO SUL,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 06,,,JOQUEI CLUBE,FORTALEZA,,Sim,2026-07-21,,,,22:47:44,81795,4458399.0,,-3.7647286328,-38.5709469386,RUA RIO GRANDE DO SUL,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 06,,,JOQUEI CLUBE,FORTALEZA,,Sim,2026-07-21,,,,22:47:44,82048,4462759.0,,-3.7647286328,-38.5709469386,RUA RIO GRANDE DO SUL,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 21,,,PARQUE MANIBURA,FORTALEZA,,Sim,2026-07-21,,,,17:17:42,81584,4457447.0,,-3.7924091717,-38.4803337716,AVENIDA WASHINGTON SOARES,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 21,,,PARQUE MANIBURA,FORTALEZA,,Sim,2026-07-21,,,,17:17:42,81796,4458397.0,,-3.7924091717,-38.4803337716,AVENIDA WASHINGTON SOARES,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 21,,,PARQUE MANIBURA,FORTALEZA,,Sim,2026-07-21,,,,17:17:42,82049,4462757.0,,-3.7924091717,-38.4803337716,AVENIDA WASHINGTON SOARES,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 16,,,ANCURI,PACATUBA,,Sim,2026-07-21,,,,13:35:17,81581,4457508.0,,-3.858131637,-38.5516355488,CONJUNTO HABITACIONAL ORGULHO DO CEARÁ,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Terça-feira,False,False,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,CAPITAL LESTE
2.0,AIS 16,,,ANCURI,PACATUBA,,Sim,2026-07-21,,,,13:35:17,81800,4458498.0,,-3.858131637,-38.5516355488,CONJUNTO HABITACIONAL ORGULHO DO CEARÁ,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Terça-feira,False,False,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,CAPITAL LESTE
2.0,AIS 16,,,ANCURI,PACATUBA,,Sim,2026-07-21,,,,13:35:17,82052,4462907.0,,-3.858131637,-38.5516355488,CONJUNTO HABITACIONAL ORGULHO DO CEARÁ,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Terça-feira,False,False,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,CAPITAL LESTE
2.0,AIS 20,,,PARQUE DOIS IRMAOS,FORTALEZA,,Sim,2026-07-21,,,,12:24:53,81583,4457444.0,,-3.7993968041,-38.5433268776,RUA F,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 20,,,PARQUE DOIS IRMAOS,FORTALEZA,,Sim,2026-07-21,,,,12:24:53,81797,4458394.0,,-3.7993968041,-38.5433268776,RUA F,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 20,,,PARQUE DOIS IRMAOS,FORTALEZA,,Sim,2026-07-21,,,,12:24:53,82050,4462754.0,,-3.7993968041,-38.5433268776,RUA F,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 16,,,MESSEJANA,FORTALEZA,,Sim,2026-07-21,,,,11:32:49,81582,4457443.0,,-3.8346089523,-38.4971207101,RUA CHICO FRANÇA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 16,,,MESSEJANA,FORTALEZA,,Sim,2026-07-21,,,,11:32:49,81798,4458393.0,,-3.8346089523,-38.4971207101,RUA CHICO FRANÇA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 16,,,MESSEJANA,FORTALEZA,,Sim,2026-07-21,,,,11:32:49,82051,4462753.0,,-3.8346089523,-38.4971207101,RUA CHICO FRANÇA,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 08,,,ALDEOTA,FORTALEZA,,Sim,2026-07-20,,,,4:23:53,81573,4457435.0,,-3.7364283976,-38.5069238244,AVENIDA BARÃO DE STUDART,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 08,,,ALDEOTA,FORTALEZA,,Sim,2026-07-20,,,,4:23:53,81790,4458385.0,,-3.7364283976,-38.5069238244,AVENIDA BARÃO DE STUDART,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 08,,,ALDEOTA,FORTALEZA,,Sim,2026-07-20,,,,4:23:53,82037,4462745.0,,-3.7364283976,-38.5069238244,AVENIDA BARÃO DE STUDART,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL LESTE
2.0,AIS 04,,,,AMONTADA,,Sim,2026-07-20,,,,22:50:10,81580,4457521.0,,-3.3614197591,-39.8305411912,RUA PADRE PEDRO VITORINO,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Segunda-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,NORDESTE
2.0,AIS 04,,,,AMONTADA,,Sim,2026-07-20,,,,22:50:10,81786,4458511.0,,-3.3614197591,-39.8305411912,RUA PADRE PEDRO VITORINO,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Segunda-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,NORDESTE
2.0,AIS 04,,,,AMONTADA,,Sim,2026-07-20,,,,22:50:10,82038,4462921.0,,-3.3614197591,-39.8305411912,RUA PADRE PEDRO VITORINO,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Segunda-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,,NORDESTE
2.0,AIS 17,,,PARQUE PRESIDENTE VARGAS,MARACANAU,,Sim,2026-07-20,,,,21:21:44,81571,4457490.0,,-3.8584615806,-38.6371180264,RUA 05,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 17,,,PARQUE PRESIDENTE VARGAS,MARACANAU,,Sim,2026-07-20,,,,21:21:44,81785,4458478.0,,-3.8584615806,-38.6371180264,RUA 05,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 17,,,PARQUE PRESIDENTE VARGAS,MARACANAU,,Sim,2026-07-20,,,,21:21:44,82040,4462883.0,,-3.8584615806,-38.6371180264,RUA 05,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 06,,,ANTONIO BEZERRA,CAUCAIA,,Sim,2026-07-20,,,,18:05:01,81579,4457241.0,,-3.7551929392,-38.6257580606,RUA JORGE GUIMARÃES,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 06,,,ANTONIO BEZERRA,CAUCAIA,,Sim,2026-07-20,,,,18:05:01,81789,4458187.0,,-3.7551929392,-38.6257580606,RUA JORGE GUIMARÃES,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 06,,,ANTONIO BEZERRA,CAUCAIA,,Sim,2026-07-20,,,,18:05:01,82041,4462548.0,,-3.7551929392,-38.6257580606,RUA JORGE GUIMARÃES,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 05,,,FATIMA,FORTALEZA,,Sim,2026-07-20,,,,17:18:26,81578,4457439.0,,-3.7512864605,-38.5265622981,RUA CAROLINO DE AQUINO,NONE,cvp,ROUBO A FARMÁCIA,,,Segunda-feira,False,False,,,,ROUBO A FARMÁCIA,,CAPITAL OESTE
2.0,AIS 05,,,FATIMA,FORTALEZA,,Sim,2026-07-20,,,,17:18:26,81793,4458389.0,,-3.7512864605,-38.5265622981,RUA CAROLINO DE AQUINO,NONE,cvp,ROUBO A FARMÁCIA,,,Segunda-feira,False,False,,,,ROUBO A FARMÁCIA,,CAPITAL OESTE
2.0,AIS 05,,,FATIMA,FORTALEZA,,Sim,2026-07-20,,,,17:18:26,82042,4462749.0,,-3.7512864605,-38.5265622981,RUA CAROLINO DE AQUINO,NONE,cvp,ROUBO A FARMÁCIA,,,Segunda-feira,False,False,,,,ROUBO A FARMÁCIA,,CAPITAL OESTE
2.0,AIS 21,,,EDSON QUEIROZ,FORTALEZA,,Sim,2026-07-20,,,,17:01:12,81575,4457438.0,,-3.7759580039,-38.4815033419,AVENIDA WASHINGTON SOARES,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 21,,,EDSON QUEIROZ,FORTALEZA,,Sim,2026-07-20,,,,17:01:12,81792,4458388.0,,-3.7759580039,-38.4815033419,AVENIDA WASHINGTON SOARES,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 21,,,EDSON QUEIROZ,FORTALEZA,,Sim,2026-07-20,,,,17:01:12,82039,4462748.0,,-3.7759580039,-38.4815033419,AVENIDA WASHINGTON SOARES,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,CAPITAL OESTE
2.0,AIS 01,,,,QUIXADA,,Sim,2026-07-20,,,,16:48:10,81576,4457558.0,,-4.9520169638,-39.0291697686,AVENIDA ESTADOS UNIDOS,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,SUDESTE
2.0,AIS 01,,,,QUIXADA,,Sim,2026-07-20,,,,16:48:10,81794,4458556.0,,-4.9520169638,-39.0291697686,AVENIDA ESTADOS UNIDOS,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,SUDESTE
2.0,AIS 01,,,,QUIXADA,,Sim,2026-07-20,,,,16:48:10,82045,4462970.0,,-4.9520169638,-39.0291697686,AVENIDA ESTADOS UNIDOS,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA,,SUDESTE
